V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,4 / 16,95 m²,2,yoxdur,110 000AZN,vasitəçi (agent),98,11 Avqust 2019,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Yeni tikili,16 / 17,104 m²,3,yoxdur,119 000AZN,mülkiyyətçi,183,10 Avqust 2019,"Binəqədi r.
",,,,,,,,,
Yeni tikili,10 / 18,155 m²,3,var,400 000AZN,vasitəçi (agent),148,10 Avqust 2019,"Yasamal bazarı 
"," Yasamal r.
",,,,,,,,
Köhnə tikili,1 / 5,85 m²,4,var,100 000AZN,vasitəçi (agent),168,10 Avqust 2019,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,
Yeni tikili,9 / 19,123 m²,2,var,240 000AZN,vasitəçi (agent),114,10 Avqust 2019,"Neftçi bazası 
"," TQDK 
"," Nəsimi r.
",,,,,,,
Yeni tikili,8 / 16,125 m²,3,var,185 000AZN,vasitəçi (agent),133,Dünən 12,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,14 / 18,205 m²,4,var,355 000AZN,mülkiyyətçi,5832,Dünən 09,"Zabitlər parkı 
"," Sirk 
"," Rusiya səfirliyi 
"," Sevil Qazıyeva parkı 
"," Nizami m.
"," Nəsimi r.
"," Kubinka q.
",,,
Köhnə tikili,1 / 5,70 m²,3,var,95 000AZN,vasitəçi (agent),153,11 Avqust 2019,"Memar Əcəmi m.
",,,,,,,,,
Yeni tikili,15 / 20,96 m²,3,yoxdur,174 000AZN,mülkiyyətçi,146,11 Avqust 2019,"Sevil Qazıyeva parkı 
"," Rusiya səfirliyi 
"," Park Zorge 
"," Nəsimi r.
",,,,,,
Yeni tikili,17 / 18,136 m²,3,var,250 000AZN,vasitəçi (agent),109,11 Avqust 2019,"Zabitlər parkı 
"," Sirk 
"," Rusiya səfirliyi 
"," Azərbaycan Dillər Universiteti 
"," Nəsimi r.
",,,,,
Yeni tikili,7 / 14,90 m²,3,yoxdur,150 000AZN,mülkiyyətçi,202,10 Avqust 2019,"Zərifə Əliyeva adına park 
"," Nəsimi m.
"," Binəqədi r.
"," 6-cı mikrorayon q.
",,,,,,
Köhnə tikili,9 / 9,90 m²,3,var,108 000AZN,mülkiyyətçi,159,10 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,17 / 17,170 m²,4,var,135 000AZN,mülkiyyətçi,127,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,7 / 16,156 m²,3,yoxdur,265 000AZN,vasitəçi (agent),125,10 Avqust 2019,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,
Yeni tikili,16 / 18,94 m²,2,var,188 000AZN,vasitəçi (agent),131,Dünən 13,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,1 / 5,100 m²,4,var,112 000AZN,mülkiyyətçi,184,Dünən 09,"Neftçilər m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,7 / 16,133 m²,3,yoxdur,200 000AZN,mülkiyyətçi,570,Dünən 18,"Qış parkı 
"," Sirk 
"," Nizami m.
"," Nəsimi r.
",,,,,,
Yeni tikili,9 / 14,55 m²,1,var,71 000AZN,mülkiyyətçi,157,11 Avqust 2019,"Suraxanı r.
"," Qaraçuxur q.
",,,,,,,,
Köhnə tikili,1 / 5,75 m²,3,var,80 000AZN,vasitəçi (agent),678,11 Avqust 2019,"Neftçilər m.
"," Nizami r.
",,,,,,,,
Yeni tikili,11 / 16,85 m²,2,yoxdur,68 000AZN,vasitəçi (agent),302,10 Avqust 2019,"Binəqədi r.
",,,,,,,,,
Köhnə tikili,4 / 5,95 m²,3,yoxdur,105 000AZN,vasitəçi (agent),1667,09 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
Köhnə tikili,5 / 5,88 m²,3,var,108 000AZN,vasitəçi (agent),182,10 Avqust 2019,"Yasamal bazarı 
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Köhnə tikili,4 / 9,50 m²,2,var,81 000AZN,vasitəçi (agent),172,10 Avqust 2019,"Yasamal bazarı 
"," Yasamal r.
",,,,,,,,
Köhnə tikili,7 / 9,70 m²,2,var,80 000AZN,vasitəçi (agent),180,Dünən 12,"Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Yeni tikili,15 / 20,64 m²,2,yoxdur,140 000AZN,mülkiyyətçi,923,Dünən 09,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,1 / 9,100 m²,4,var,190 000AZN,mülkiyyətçi,110,11 Avqust 2019,"Nərimanov r.
",,,,,,,,,
Yeni tikili,14 / 17,145 m²,4,var,190 000AZN,mülkiyyətçi,428,30 İyul 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,3 / 7,125 m²,3,yoxdur,295 000AZN,vasitəçi (agent),99,11 Avqust 2019,"Ağ şəhər 
"," Xətai r.
",,,,,,,,
Yeni tikili,10 / 14,56 m²,2,yoxdur,85 000AZN,vasitəçi (agent),267,10 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Köhnə tikili,5 / 9,100 m²,3,var,100 000AZN,vasitəçi (agent),372,10 Avqust 2019,"Xalqlar Dostluğu m.
"," Xətai r.
",,,,,,,,
Yeni tikili,4 / 16,134.4 m²,3,yoxdur,134 400AZN,vasitəçi (agent),142,10 Avqust 2019,"Səbail r.
",,,,,,,,,
Köhnə tikili,2 / 9,65 m²,2,var,80 000AZN,vasitəçi (agent),155,10 Avqust 2019,"Əhmədli m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,4 / 5,80 m²,3,var,130 000AZN,mülkiyyətçi,798,Dünən 12,"Səbail r.
"," Badamdar q.
",,,,,,,,
Köhnə tikili,4 / 9,90 m²,4,var,115 000AZN,vasitəçi (agent),170,Dünən 09,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Yeni tikili,5 / 7,39.8 m²,1,var,42 500AZN,mülkiyyətçi,200,11 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,6 / 17,90 m²,2,var,136 500AZN,vasitəçi (agent),1323,20 İyul 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,15 / 19,167 m²,3,var,369 000AZN,vasitəçi (agent),975,11 Avqust 2019,"Zoopark 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,8 / 17,171 m²,3,var,295 000AZN,mülkiyyətçi,10146,07 Avqust 2019,"Nəsimi r.
",,,,,,,,,
Yeni tikili,5 / 15,120 m²,3,yoxdur,174 000AZN,vasitəçi (agent),190,10 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,14 / 15,52 m²,2,var,143 000AZN,mülkiyyətçi,4018,Bugün 13,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,8 / 9,130 m²,4,var,135 000AZN,vasitəçi (agent),153,10 Avqust 2019,"Ukrayna dairəsi 
"," Əhmədli m.
"," Xətai r.
",,,,,,,
Yeni tikili,11 / 16,185 m²,4,yoxdur,1 000 000AZN,vasitəçi (agent),181,Dünən 12,"Dövlət İdarəçilik Akademiyası 
"," İçəri Şəhər m.
"," Qubernator parkı 
"," İqsadiyyat Universiteti 
"," Axundov bağı 
"," Prezident parkı 
"," M.Ə.Sabir parkı 
"," İçəri Şəhər 
"," Şəlalə parkı 
"," Səbail r.
"
Yeni tikili,5 / 17,145 m²,3,yoxdur,240 000AZN,vasitəçi (agent),280,Dünən 09,"Yasamal r.
",,,,,,,,,
Yeni tikili,9 / 13,85 m²,2,var,145 000AZN,mülkiyyətçi,163,11 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,5 / 12,110 m²,3,var,200 000AZN,vasitəçi (agent),215,11 Avqust 2019,"Dövlət Statistika Komitəsi 
"," İncəsənət və Mədəniyyət Un. 
"," Nizami m.
"," Yasamal r.
",,,,,,
Yeni tikili,8 / 16,103.6 m²,2,var,285 000AZN,vasitəçi (agent),119,11 Avqust 2019,"Montin bazarı 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,1 / 5,60 m²,2,var,75 000AZN,vasitəçi (agent),249,10 Avqust 2019,"Memar Əcəmi m.
"," 20 Yanvar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,
Köhnə tikili,1 / 5,64 m²,3,var,109 000AZN,mülkiyyətçi,172,10 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
Yeni tikili,15 / 18,133 m²,3,yoxdur,140 000AZN,vasitəçi (agent),3517,10 Avqust 2019,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,
Yeni tikili,2 / 16,95 m²,2,var,130 000AZN,vasitəçi (agent),169,10 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Köhnə tikili,4 / 5,34 m²,1,var,50 000AZN,vasitəçi (agent),203,Dünən 12,"Nizami r.
",,,,,,,,,
Yeni tikili,6 / 21,178 m²,4,yoxdur,213 600AZN,vasitəçi (agent),156,Dünən 09,"Yasamal r.
",,,,,,,,,
Yeni tikili,5 / 16,124 m²,3,yoxdur,190 000AZN,mülkiyyətçi,657,Dünən 18,"Koala parkı 
"," Dostluq kinoteatrı 
"," Nəsimi bazarı 
"," Zoopark 
"," Park Zorge 
"," Nəsimi r.
",,,,
Yeni tikili,6 / 17,127 m²,3,var,165 000AZN,mülkiyyətçi,274,11 Avqust 2019,"Neftçi bazası 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,6 / 16,183 m²,4,var,250 000AZN,mülkiyyətçi,634,11 Avqust 2019,"28 May m.
"," Neft Akademiyası 
"," Bakı Musiqi Akademiyası 
"," Bakı Slavyan Universiteti 
"," Nəsimi r.
",,,,,
Yeni tikili,10 / 11,112 m²,3,yoxdur,165 000AZN,vasitəçi (agent),1478,10 Avqust 2019,"Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,,
Köhnə tikili,4 / 6,100 m²,4,var,410 000AZN,vasitəçi (agent),135,10 Avqust 2019,"Sahil m.
"," Sahil bağı 
"," Malokan bağı 
"," Xalça Muzeyi 
"," Pedaqoji Universiteti 
"," Nizami kinoteatrı 
"," Səbail r.
",,,
Yeni tikili,12 / 17,82 m²,3,yoxdur,105 000AZN,vasitəçi (agent),174,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
Yeni tikili,11 / 14,170 m²,3,var,350 000AZN,mülkiyyətçi,4334,10 Avqust 2019,"Azərbaycan Dillər Universiteti 
"," Bakı Slavyan Universiteti 
"," Sirk 
"," Zabitlər parkı 
",,,,,,
Yeni tikili,18 / 18,120 m²,3,var,160 000AZN,vasitəçi (agent),184,Dünən 12,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
Köhnə tikili,5 / 5,75 m²,3,var,145 000AZN,vasitəçi (agent),197,Dünən 09,"Cavanşir körpüsü 
"," Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,
Yeni tikili,5 / 10,161 m²,3,var,280 000AZN,vasitəçi (agent),10549,11 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,12 / 18,155 m²,3,yoxdur,145 000AZN,vasitəçi (agent),2093,Dünən 14,"Səbail r.
",,,,,,,,,
Yeni tikili,7 / 13,110 m²,3,var,118 000AZN,vasitəçi (agent),1354,10 Avqust 2019,"Əhmədli m.
"," Xətai r.
",,,,,,,,
Yeni tikili,22 / 27,105 m²,2,var,105 000AZN,vasitəçi (agent),499,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,17 / 21,91 m²,2,yoxdur,125 000AZN,mülkiyyətçi,144,10 Avqust 2019,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,
Yeni tikili,3 / 12,125 m²,3,var,149 000AZN,vasitəçi (agent),143,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,8 / 19,67.3 m²,2,yoxdur,90 000AZN,vasitəçi (agent),222,10 Avqust 2019,"Rəssamlıq Akademiyası 
"," Nəriman Nərimanov parkı 
"," Montin bazarı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,
Yeni tikili,5 / 19,157 m²,3,var,330 000AZN,vasitəçi (agent),119,Dünən 12,"Cavanşir körpüsü 
"," Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,
Yeni tikili,3 / 16,133 m²,3,var,210 000AZN,vasitəçi (agent),158,Dünən 09,"Azadlıq Prospekti m.
"," Binəqədi r.
",,,,,,,,
Yeni tikili,9 / 14,130 m²,3,var,356 000AZN,vasitəçi (agent),450,Dünən 18,"Park Zorge 
"," Rusiya səfirliyi 
"," Nəsimi bazarı 
"," Koala parkı 
"," Sevil Qazıyeva parkı 
"," Nəsimi r.
",,,,
Köhnə tikili,8 / 9,40 m²,2,var,60 000AZN,vasitəçi (agent),258,11 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,11 / 16,137 m²,3,yoxdur,255 000AZN,mülkiyyətçi,257,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,7 / 9,52 m²,2,var,85 000AZN,vasitəçi (agent),286,10 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
Yeni tikili,18 / 23,185 m²,4,var,225 000AZN,vasitəçi (agent),171,10 Avqust 2019,"Zoopark 
"," Dostluq kinoteatrı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,4 / 16,110.5 m²,3,yoxdur,110 500AZN,vasitəçi (agent),145,10 Avqust 2019,"Səbail r.
",,,,,,,,,
Yeni tikili,18 / 20,130 m²,3,var,210 000AZN,vasitəçi (agent),346,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Köhnə tikili,8 / 9,60 m²,2,var,60 000AZN,vasitəçi (agent),309,Dünən 12,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Yeni tikili,6 / 18,141 m²,3,var,232 000AZN,vasitəçi (agent),178,Dünən 09,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,
Köhnə tikili,5 / 5,85 m²,4,var,135 000AZN,vasitəçi (agent),134,11 Avqust 2019,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,
Yeni tikili,11 / 12,126 m²,3,yoxdur,240 000AZN,vasitəçi (agent),156,11 Avqust 2019,"Nizami m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,8 / 16,173 m²,4,yoxdur,275 000AZN,mülkiyyətçi,775,31 İyul 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,2 / 5,74 m²,3,var,115 000AZN,mülkiyyətçi,295,10 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Köhnə tikili,2 / 4,250 m²,6,var,650 000AZN,vasitəçi (agent),176,10 Avqust 2019,"Pedaqoji Universiteti 
"," Sahil bağı 
"," Malokan bağı 
"," Milli Konservatoriya 
"," Nizami kinoteatrı 
"," Neft Akademiyası 
"," Bakı Musiqi Akademiyası 
"," Sahil m.
"," 28 May m.
"," Nəsimi r.
"
Yeni tikili,5 / 12,132 m²,3,var,190 000AZN,vasitəçi (agent),168,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Köhnə tikili,7 / 9,85 m²,3,var,116 000AZN,vasitəçi (agent),220,10 Avqust 2019,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,
Yeni tikili,18 / 19,90 m²,3,yoxdur,98 000AZN,vasitəçi (agent),1029,Bugün 12,"Xalqlar Dostluğu m.
"," Nizami r.
",,,,,,,,
Yeni tikili,14 / 17,82 m²,3,yoxdur,170 000AZN,vasitəçi (agent),127,Dünən 09,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,
Köhnə tikili,3 / 9,50 m²,2,var,59 000AZN,vasitəçi (agent),355,11 Avqust 2019,"Suraxanı r.
"," Yeni Günəşli q.
",,,,,,,,
Yeni tikili,12 / 18,105 m²,2,yoxdur,140 000AZN,vasitəçi (agent),122,11 Avqust 2019,"Bakı Asiya Universiteti 
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,
Yeni tikili,17 / 17,63.1 m²,2,yoxdur,21 000AZN,mülkiyyətçi,271,11 Avqust 2019,"Xırdalan
",,,,,,,,,
Yeni tikili,5 / 12,175 m²,4,var,175 000AZN,vasitəçi (agent),284,10 Avqust 2019,"Memar Əcəmi m.
"," 20 Yanvar m.
"," Nəsimi r.
",,,,,,,
Yeni tikili,5 / 12,122 m²,2,var,265 000AZN,vasitəçi (agent),165,10 Avqust 2019,"Dövlət İdarəçilik Akademiyası 
"," Prezident parkı 
"," Qubernator parkı 
"," İçəri Şəhər m.
"," Axundov bağı 
"," İqsadiyyat Universiteti 
"," Şəlalə parkı 
"," Səbail r.
",,
Köhnə tikili,2 / 5,60 m²,2,var,179 000AZN,vasitəçi (agent),155,10 Avqust 2019,"Axundov bağı 
"," İqsadiyyat Universiteti 
"," Dövlət İdarəçilik Akademiyası 
"," M.Ə.Sabir parkı 
"," Mərkəzi Univermaq 
"," İçəri Şəhər m.
"," Sovetski 
"," Səbail r.
",,
Köhnə tikili,6 / 9,43 m²,2,var,79 000AZN,vasitəçi (agent),211,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,2 / 16,138 m²,3,var,230 000AZN,vasitəçi (agent),573,Bugün 12,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,
Yeni tikili,5 / 5,250 m²,9,yoxdur,195 000AZN,vasitəçi (agent),127,Dünən 14,"Səbail r.
"," Bayıl q.
",,,,,,,,
Köhnə tikili,2 / 4,50 m²,2,var,250 000AZN,vasitəçi (agent),186,11 Avqust 2019,"Axundov bağı 
"," Sovetski 
"," Nərimanov heykəli 
"," Dövlət İdarəçilik Akademiyası 
"," İqsadiyyat Universiteti 
"," Prezident parkı 
"," İçəri Şəhər m.
"," Nəsimi r.
",,
Yeni tikili,12 / 19,106.5 m²,3,yoxdur,92 000AZN,mülkiyyətçi,357,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Köhnə tikili,1 / 5,46 m²,2,var,77 000AZN,vasitəçi (agent),131,11 Avqust 2019,"Yasamal bazarı 
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,16 / 17,62 m²,2,yoxdur,95 000AZN,vasitəçi (agent),875,10 Avqust 2019,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 6-cı mikrorayon q.
",,,,,,,
Yeni tikili,6 / 6,44 m²,2,yoxdur,37 000AZN,vasitəçi (agent),158,10 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,13 / 17,57 m²,2,yoxdur,57 000AZN,mülkiyyətçi,2217,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Köhnə tikili,3 / 4,48 m²,2,var,149 000AZN,vasitəçi (agent),129,10 Avqust 2019,"28 May m.
"," Neft Akademiyası 
"," Səməd Vurğun parkı 
"," Nəsimi r.
",,,,,,
Yeni tikili,5 / 16,129.3 m²,5,yoxdur,165 000AZN,mülkiyyətçi,1022,02 Avqust 2019,"Nərimanov r.
",,,,,,,,,
Yeni tikili,11 / 19,150 m²,4,yoxdur,190 000AZN,vasitəçi (agent),128,Dünən 09,"20 Yanvar m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,3 / 16,71 m²,2,var,125 000AZN,mülkiyyətçi,570,Dünən 18,"Səbail r.
"," Bayıl q.
",,,,,,,,
Yeni tikili,3 / 16,115 m²,3,var,230 000AZN,vasitəçi (agent),157,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,2 / 5,110 m²,5,var,260 000AZN,vasitəçi (agent),113,11 Avqust 2019,"Dövlət Statistika Komitəsi 
"," İzmir parkı 
"," M.Hüseynzadə parkı 
"," Yasamal r.
",,,,,,
Yeni tikili,11 / 17,102 m²,3,var,138 000AZN,vasitəçi (agent),1254,10 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Köhnə tikili,2 / 9,78 m²,3,var,95 000AZN,vasitəçi (agent),139,10 Avqust 2019,"Əhmədli m.
"," Ukrayna dairəsi 
"," Xətai r.
",,,,,,,
Köhnə tikili,1 / 5,65 m²,3,var,108 000AZN,vasitəçi (agent),126,10 Avqust 2019,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,
Köhnə tikili,5 / 5,60.4 m²,2,var,75 000AZN,mülkiyyətçi,190,10 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Yeni tikili,6 / 10,195 m²,4,var,320 000AZN,mülkiyyətçi,2587,05 Avqust 2019,"Rəssamlıq Akademiyası 
"," Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,
Yeni tikili,11 / 16,111 m²,3,var,260 000AZN,vasitəçi (agent),139,Dünən 09,"28 May m.
"," Neft Akademiyası 
"," Bakı Musiqi Akademiyası 
"," Milli Konservatoriya 
"," Səməd Vurğun parkı 
"," Nəsimi r.
",,,,
Yeni tikili,20 / 23,440 m²,4,var,550 000AZN,vasitəçi (agent),1928,Dünən 18,"İncəsənət və Mədəniyyət Un. 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
Yeni tikili,5 / 18,180 m²,4,var,395 000AZN,vasitəçi (agent),844,Dünən 14,"Cavanşir körpüsü 
"," Xətai r.
",,,,,,,,
Yeni tikili,10 / 16,281 m²,5,yoxdur,430 000AZN,mülkiyyətçi,614,11 Avqust 2019,"Sirk 
"," Qış parkı 
"," Azərbaycan Dillər Universiteti 
"," Zabitlər parkı 
"," Nəsimi r.
",,,,,
Yeni tikili,6 / 18,94 m²,2,var,130 000AZN,vasitəçi (agent),234,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,8 / 16,123 m²,3,var,220 000AZN,vasitəçi (agent),160,10 Avqust 2019,"Bakı Dövlət Universiteti 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
Yeni tikili,16 / 20,131 m²,3,yoxdur,170 000AZN,vasitəçi (agent),157,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Köhnə tikili,3 / 9,90 m²,3,var,150 000AZN,vasitəçi (agent),158,10 Avqust 2019,"Dövlət Statistika Komitəsi 
"," İzmir parkı 
"," M.Hüseynzadə parkı 
"," Yasamal r.
",,,,,,
Yeni tikili,14 / 18,214 m²,4,var,765 000AZN,vasitəçi (agent),10934,05 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,14 / 19,170 m²,4,var,355 000AZN,mülkiyyətçi,9403,Dünən 09,"Cavanşir körpüsü 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,15 / 17,140 m²,3,yoxdur,250 000AZN,vasitəçi (agent),5867,Dünən 18,"Elmlər Akademiyası m.
",,,,,,,,,
Yeni tikili,10 / 18,141 m²,3,yoxdur,105 500AZN,mülkiyyətçi,215,11 Avqust 2019,"Bakı Dövlət Universiteti 
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
Köhnə tikili,5 / 5,70 m²,3,var,125 000AZN,vasitəçi (agent),134,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,9 / 14,117 m²,3,yoxdur,175 000AZN,vasitəçi (agent),610,10 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,3 / 17,86 m²,3,yoxdur,120 000AZN,vasitəçi (agent),266,10 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,3 / 18,143 m²,3,var,220 000AZN,vasitəçi (agent),120,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,10 / 12,52.1 m²,2,yoxdur,78 000AZN,mülkiyyətçi,174,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,9 / 14,120 m²,3,var,394 400AZN,mülkiyyətçi,1840,25 İyul 2019,"Zabitlər parkı 
"," Rusiya səfirliyi 
"," Park Zorge 
"," Sirk 
"," Nəsimi r.
",,,,,
Yeni tikili,4 / 8,116 m²,3,var,177 000AZN,vasitəçi (agent),132,Dünən 09,"20 Yanvar m.
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,3 / 5,71 m²,3,var,114 900AZN,mülkiyyətçi,125,11 Avqust 2019,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,
Köhnə tikili,5 / 5,70 m²,2,var,145 000AZN,vasitəçi (agent),219,11 Avqust 2019,"Axundov bağı 
"," Dövlət İdarəçilik Akademiyası 
"," İqsadiyyat Universiteti 
"," İçəri Şəhər m.
"," Prezident parkı 
"," Qubernator parkı 
"," M.Ə.Sabir parkı 
"," Nərimanov heykəli 
"," Sovetski 
"," Səbail r.
"
Köhnə tikili,4 / 5,130 m²,3,var,155 000AZN,vasitəçi (agent),3407,11 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,10 / 17,62 m²,2,yoxdur,105 000AZN,vasitəçi (agent),540,10 Avqust 2019,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 6-cı mikrorayon q.
",,,,,,,
Yeni tikili,4 / 17,58 m²,1,yoxdur,55 000AZN,vasitəçi (agent),257,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,7 / 19,75 m²,2,yoxdur,110 000AZN,vasitəçi (agent),245,Bugün 13,"Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,,
Yeni tikili,16 / 17,115 m²,3,var,235 000AZN,mülkiyyətçi,701,10 Avqust 2019,"Nizami m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,6 / 11,80 m²,2,var,124 500AZN,vasitəçi (agent),305,Dünən 12,"Memar Əcəmi m.
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,
Yeni tikili,6 / 17,210 m²,4,var,355 000AZN,vasitəçi (agent),156,Dünən 09,"Koala parkı 
"," Nəsimi bazarı 
"," Dostluq kinoteatrı 
"," Park Zorge 
"," Nəsimi r.
",,,,,
Yeni tikili,16 / 22,225 m²,4,yoxdur,500 000AZN,vasitəçi (agent),2013,Bugün 14,"Koala parkı 
"," Dostluq kinoteatrı 
"," Nəsimi bazarı 
"," Park Zorge 
"," Zoopark 
"," Nəsimi r.
",,,,
Yeni tikili,11 / 12,137 m²,3,yoxdur,248 000AZN,vasitəçi (agent),124,11 Avqust 2019,"Nizami m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
